1|62|49|8|6|32|1|0|0|7|1
2|131|13|1|10|29|0|0|0|8|0
3|78|86|8|10|14|0|0|1|9|10
4|131|18|3|9|23|1|1|0|2|10
5|131|8|2|10|2|1|0|0|3|6
6|63|67|2|1|17|1|0|0|8|7
7|136|47|5|8|2|1|0|1|1|1
8|157|21|3|6|20|1|0|0|6|9
9|17|3|7|9|35|0|1|1|7|7
10|76|86|7|9|10|0|0|0|1|9
11|185|17|5|9|20|1|1|0|0|8
12|70|93|2|1|32|1|1|1|2|9
13|169|48|2|8|45|1|1|1|9|8
14|154|81|8|4|30|1|0|1|0|7
15|32|94|3|10|9|1|0|0|8|7
16|144|99|7|4|11|1|0|1|3|4
17|86|98|5|9|40|0|1|0|2|1
18|143|89|8|7|15|1|1|1|3|6
19|20|44|8|9|44|1|0|1|3|4
20|130|69|6|4|32|0|1|1|8|2
21|46|46|4|4|35|0|0|0|2|1
22|193|6|10|8|47|0|0|1|3|7
23|159|42|3|6|19|0|1|1|1|5
24|132|12|3|5|19|1|1|0|7|10
25|66|60|10|4|16|0|0|0|4|8
26|68|16|2|1|40|1|0|0|0|9
27|152|36|9|7|12|0|0|1|4|3
28|27|38|3|10|33|0|0|1|0|7
29|122|76|4|5|31|1|1|1|4|1
30|82|59|4|9|38|1|0|0|4|0
31|16|95|7|3|30|1|1|0|3|1
32|22|50|9|3|18|1|0|0|6|0
33|30|3|4|3|49|1|1|1|7|3
34|10|43|1|8|41|0|1|0|5|8
35|136|36|3|10|23|1|0|0|7|0
36|146|83|6|6|35|1|0|0|2|5
37|48|50|5|1|5|1|1|0|6|4
38|22|17|10|10|9|0|0|1|6|0
39|148|19|4|6|14|1|0|1|0|5
40|42|41|5|3|16|0|0|1|4|9
41|46|3|3|9|27|0|0|0|5|3
42|194|44|4|9|6|0|1|0|2|2
43|64|13|9|8|35|0|1|1|3|2
44|25|18|7|6|44|0|1|0|5|0
45|22|64|5|2|33|0|0|1|3|0
46|44|62|5|8|25|1|1|0|1|9
47|92|56|8|9|22|1|1|0|1|9
48|111|21|5|10|16|0|1|1|1|10
49|147|63|9|2|8|1|1|0|1|5
50|111|46|10|1|30|0|1|1|0|6
51|128|61|1|8|9|1|1|1|4|7
52|175|90|8|5|42|0|0|1|4|1
53|183|97|3|7|49|0|0|0|8|3
54|44|1|7|1|17|0|1|0|1|6
55|71|42|3|7|3|1|0|0|5|8
56|98|48|10|5|35|1|0|1|8|4
57|50|35|1|5|29|1|0|0|3|8
58|38|9|8|9|11|1|1|0|2|3
59|107|7|8|9|18|0|1|1|4|5
60|57|20|6|9|21|1|1|1|9|3
61|90|1|8|10|23|1|0|0|0|3
62|158|10|3|1|32|1|1|1|2|6
63|98|57|8|2|48|1|1|0|3|2
64|75|75|2|7|43|0|1|1|4|9
65|84|33|9|2|48|0|0|1|1|2
66|87|81|7|4|35|1|1|0|9|6
67|38|60|7|1|0|1|1|1|4|9
68|17|5|2|6|47|0|1|0|7|2
69|167|74|3|3|11|0|1|0|6|2
70|181|65|4|5|38|1|1|1|4|9
71|88|82|1|3|0|1|0|1|9|8
72|40|38|4|9|45|1|0|0|6|1
73|29|24|1|9|33|0|1|1|3|6
74|37|36|5|2|38|0|0|1|3|4
75|86|41|10|1|37|0|1|1|5|0
76|76|22|7|6|48|0|1|0|8|6
77|124|78|1|5|49|1|0|0|3|6
78|12|76|4|8|15|0|1|0|5|6
79|139|12|3|6|45|0|0|1|1|10
80|125|29|10|3|3|1|1|0|2|7
81|45|53|5|6|9|1|1|1|0|4
82|26|7|2|4|1|1|1|1|8|7
83|172|77|5|9|15|0|1|0|4|0
84|126|40|10|10|47|0|0|0|4|3
85|94|92|10|4|20|0|0|1|2|8
86|28|50|8|2|50|0|1|1|1|4
87|42|58|1|2|24|1|0|1|9|2
88|172|96|3|2|45|1|0|1|4|5
89|168|58|8|3|18|1|0|1|2|10
90|171|86|3|8|9|0|0|1|1|0
91|55|2|2|7|37|0|0|1|6|9
92|195|58|1|4|3|0|0|0|4|9
93|21|19|6|1|50|0|0|1|6|3
94|113|49|1|6|4|1|1|0|4|2
95|64|96|4|1|30|1|1|0|6|1
96|77|2|1|9|6|0|0|0|9|9
97|121|1|10|3|37|1|1|1|6|8
98|77|38|2|6|3|0|0|1|9|10
