1|14|6|47
2|13|15|86
3|18|8|21
4|7|12|61
5|13|7|98
6|18|18|90
7|20|15|12
8|1|1|69
9|16|3|15
10|8|13|65
11|3|7|55
12|4|19|98
13|15|8|46
14|9|14|27
15|5|18|72
16|15|8|77
17|2|7|27
18|2|7|48
19|10|2|18
20|18|9|97
21|10|4|90
22|8|7|0
23|12|14|53
24|3|2|37
25|9|18|78
26|2|13|87
27|12|6|73
28|8|8|5
29|17|17|2
30|8|6|86
31|11|16|67
32|13|3|25
33|4|14|81
34|3|8|20
35|8|16|70
36|10|10|95
37|19|1|17
38|6|1|15
39|19|9|90
40|13|16|91
41|8|18|14
42|18|2|84
43|15|6|95
44|4|20|93
45|7|7|4
46|8|8|69
47|20|18|28
48|18|3|8
49|15|1|91
50|1|6|93
51|12|5|44
52|18|3|35
53|18|9|99
54|3|4|87
55|15|11|71
56|14|18|60
57|3|9|75
58|4|19|53
59|17|5|0
60|18|5|52
61|14|16|59
62|19|5|55
63|18|2|65
64|2|4|3
65|18|18|56
66|12|4|25
67|1|6|5
68|12|1|48
69|14|17|67
70|8|6|17
71|7|11|91
72|2|1|32
73|12|19|60
74|9|20|100
75|2|9|78
76|5|20|31
77|17|13|96
78|18|4|32
79|8|17|82
80|3|16|34
81|15|14|48
82|2|16|100
83|5|19|92
84|10|19|55
85|11|1|75
86|1|5|90
87|2|2|24
88|20|11|53
89|18|18|97
90|16|13|87
91|19|7|43
92|12|20|90
93|5|16|48
94|17|18|16
95|20|8|31
96|11|8|48
97|14|1|91
98|17|20|64
99|16|9|49
100|11|16|13
101|13|14|40
102|17|5|52
103|20|9|15
104|1|5|55
105|13|16|37
106|4|7|39
107|12|20|92
108|13|9|56
109|16|4|64
110|17|6|97
111|9|18|20
112|20|7|16
113|1|18|16
114|6|19|81
115|20|3|61
116|13|18|0
117|5|10|89
118|5|14|47
119|8|2|63
120|11|18|99
121|9|18|74
122|20|17|31
123|7|18|94
124|3|15|74
125|3|7|55
126|10|19|1
127|16|4|28
128|13|20|92
129|10|20|54
130|10|10|65
131|7|11|3
132|13|10|78
133|18|17|72
134|20|19|100
135|12|13|50
136|6|14|93
137|17|1|99
138|10|5|58
139|20|14|61
140|19|15|3
141|15|13|81
142|20|18|79
143|2|7|48
144|13|6|37
145|11|17|60
146|2|2|10
147|4|10|55
148|1|11|83
149|18|10|5
150|5|8|87
151|2|14|56
152|9|14|89
153|18|7|48
154|14|12|94
155|9|2|32
156|7|3|51
157|19|19|52
158|4|19|96
159|13|8|7
160|7|13|6
161|8|14|58
162|2|15|98
163|4|4|2
164|13|9|78
165|6|17|22
166|8|16|53
167|2|6|61
168|6|1|44
169|1|13|62
170|17|12|6
171|12|19|14
172|1|12|67
173|7|16|75
174|8|8|20
175|11|5|5
176|16|12|92
177|3|14|21
178|12|19|82
179|19|11|23
180|14|19|50
181|13|11|81
182|10|3|6
183|20|10|81
184|14|9|85
185|8|19|45
186|18|6|28
187|16|20|84
188|19|11|63
189|14|10|63
190|2|3|21
191|13|8|13
192|15|17|96
193|16|16|98
194|4|1|22
195|19|8|80
196|10|18|94
197|5|13|81
198|13|3|70
199|12|8|71
200|13|2|78
201|12|14|31
202|14|8|78
203|10|15|85
204|15|18|92
205|8|8|54
206|3|10|75
207|4|14|13
208|13|19|90
209|4|10|85
210|16|14|56
211|10|5|19
212|4|10|87
213|5|19|66
214|2|13|69
215|12|12|81
216|1|15|45
217|7|18|90
218|17|2|99
219|1|17|0
220|12|12|58
221|5|14|59
222|3|17|15
223|20|1|57
224|12|15|12
225|14|18|5
226|3|10|47
227|5|8|30
228|20|4|3
229|14|4|34
230|8|7|95
231|8|11|61
232|12|5|98
233|17|5|82
234|1|16|65
235|2|9|72
236|2|3|55
237|20|7|56
238|7|7|54
239|16|12|71
240|14|11|92
241|7|18|38
242|1|1|97
243|3|18|19
244|9|10|38
245|10|11|90
246|7|4|85
247|18|15|37
248|3|2|68
249|4|9|76
250|7|14|95
251|9|20|16
252|14|20|31
253|3|14|22
254|16|3|79
255|16|4|79
256|5|10|28
257|17|19|5
258|7|2|75
259|15|5|73
260|14|3|99
261|15|4|14
262|14|17|46
263|14|11|92
264|2|18|65
265|20|13|31
266|1|10|28
267|5|6|12
268|3|4|38
269|7|18|93
270|7|11|80
271|12|17|58
272|17|11|31
273|14|4|29
274|16|17|3
275|20|17|26
276|19|17|52
277|19|1|66
278|6|15|3
279|6|1|100
280|10|19|62
281|9|3|85
282|18|19|85
283|16|4|59
284|15|19|30
285|12|10|42
286|13|8|7
287|3|7|87
288|10|4|18
289|20|2|11
290|19|3|36
291|8|11|93
292|13|9|61
293|1|16|86
294|3|2|26
295|10|13|78
296|5|17|6
297|8|11|5
298|11|12|87
299|1|3|88
300|11|1|68
301|3|20|72
302|6|13|25
303|19|5|59
304|7|7|2
305|14|9|24
306|11|5|86
307|7|13|2
308|1|15|8
309|10|15|71
310|1|17|58
311|14|20|62
312|9|17|69
313|5|7|29
314|15|13|36
315|7|19|17
316|4|9|48
317|9|7|36
318|4|19|68
319|19|8|93
320|1|20|57
321|11|5|28
322|12|14|100
323|6|18|31
324|15|12|42
325|3|11|58
326|11|6|56
327|4|14|76
328|20|17|89
329|11|8|48
330|9|8|74
331|15|10|1
332|12|1|68
333|5|18|99
334|16|5|52
335|11|7|31
336|5|18|93
337|18|13|89
338|6|12|21
339|3|3|31
340|20|3|22
341|5|9|86
342|6|20|15
343|12|4|15
344|15|11|46
345|1|13|77
346|10|17|92
347|3|15|38
348|2|12|53
349|17|6|69
350|11|6|79
351|12|2|39
352|14|19|44
353|16|10|59
354|8|16|14
355|16|8|52
356|11|17|64
357|14|12|4
358|10|5|50
359|17|1|21
360|10|3|33
361|5|6|93
362|8|19|33
363|10|6|89
364|19|6|91
365|18|1|58
366|1|11|87
367|1|5|71
368|7|6|99
369|4|2|57
370|19|11|77
371|10|15|46
372|11|14|16
373|1|3|3
374|1|13|21
375|15|2|48
376|9|2|29
377|20|3|88
378|13|9|96
379|11|5|72
380|12|15|18
381|4|4|46
382|12|6|27
383|19|7|72
384|3|19|4
385|4|5|73
386|5|14|95
387|9|5|34
388|17|17|62
389|2|19|26
390|8|11|49
391|16|6|96
392|18|17|60
393|5|7|7
394|6|1|26
395|19|4|74
396|5|9|41
397|1|9|48
398|10|6|32
399|8|7|91
400|14|7|82
401|14|2|48
402|18|12|70
403|19|8|61
404|18|14|94
405|7|4|19
406|8|9|21
407|7|1|95
408|17|10|25
409|8|10|41
410|10|15|14
411|1|9|97
412|10|6|31
413|7|16|79
414|10|5|44
415|6|11|65
416|6|10|45
417|5|16|80
418|13|5|36
419|18|4|76
420|2|13|58
421|11|6|97
422|14|15|54
423|8|13|90
424|10|14|10
425|16|20|75
426|18|5|90
427|20|1|30
428|2|14|43
429|6|3|60
430|18|4|5
431|17|7|94
432|4|20|39
433|8|8|11
434|7|9|37
435|2|4|77
436|7|14|16
437|14|13|10
438|16|15|52
