1|131|13|1|10|29|0|0|0|8|0
1|62|49|8|6|32|1|0|0|7|1
2|131|18|3|9|23|1|1|0|2|10
2|78|86|8|10|14|0|0|1|9|10
3|131|8|2|10|2|1|0|0|3|6
3|63|67|2|1|17|1|0|0|8|7
4|136|47|5|8|2|1|0|1|1|1
4|157|21|3|6|20|1|0|0|6|9
5|17|3|7|9|35|0|1|1|7|7
5|76|86|7|9|10|0|0|0|1|9
6|185|17|5|9|20|1|1|0|0|8
6|70|93|2|1|32|1|1|1|2|9
7|154|81|8|4|30|1|0|1|0|7
7|169|48|2|8|45|1|1|1|9|8
8|144|99|7|4|11|1|0|1|3|4
8|32|94|3|10|9|1|0|0|8|7
9|143|89|8|7|15|1|1|1|3|6
9|86|98|5|9|40|0|1|0|2|1
10|130|69|6|4|32|0|1|1|8|2
10|20|44|8|9|44|1|0|1|3|4
11|193|6|10|8|47|0|0|1|3|7
11|46|46|4|4|35|0|0|0|2|1
12|132|12|3|5|19|1|1|0|7|10
12|159|42|3|6|19|0|1|1|1|5
13|66|60|10|4|16|0|0|0|4|8
13|68|16|2|1|40|1|0|0|0|9
14|152|36|9|7|12|0|0|1|4|3
14|27|38|3|10|33|0|0|1|0|7
15|122|76|4|5|31|1|1|1|4|1
15|82|59|4|9|38|1|0|0|4|0
16|16|95|7|3|30|1|1|0|3|1
16|22|50|9|3|18|1|0|0|6|0
17|10|43|1|8|41|0|1|0|5|8
17|30|3|4|3|49|1|1|1|7|3
18|136|36|3|10|23|1|0|0|7|0
18|146|83|6|6|35|1|0|0|2|5
19|22|17|10|10|9|0|0|1|6|0
19|48|50|5|1|5|1|1|0|6|4
20|148|19|4|6|14|1|0|1|0|5
20|42|41|5|3|16|0|0|1|4|9
21|194|44|4|9|6|0|1|0|2|2
21|46|3|3|9|27|0|0|0|5|3
22|25|18|7|6|44|0|1|0|5|0
22|64|13|9|8|35|0|1|1|3|2
23|22|64|5|2|33|0|0|1|3|0
23|44|62|5|8|25|1|1|0|1|9
24|111|21|5|10|16|0|1|1|1|10
24|92|56|8|9|22|1|1|0|1|9
25|111|46|10|1|30|0|1|1|0|6
25|147|63|9|2|8|1|1|0|1|5
26|128|61|1|8|9|1|1|1|4|7
26|175|90|8|5|42|0|0|1|4|1
27|183|97|3|7|49|0|0|0|8|3
27|44|1|7|1|17|0|1|0|1|6
28|71|42|3|7|3|1|0|0|5|8
