1|16|0|1|0|0
1|16|1|0|1|1
1|16|1|1|1|0
1|9|1|1|1|1
2|14|0|1|0|1
2|17|1|1|1|1
2|17|2|0|1|0
2|22|0|1|0|1
3|15|1|1|1|0
3|20|0|0|0|1
3|20|0|1|1|0
3|21|1|0|0|1
4|11|2|0|1|0
4|19|2|0|0|0
4|23|0|0|0|0
4|8|2|0|1|1
5|14|2|1|0|1
5|16|0|0|1|1
5|20|0|1|1|0
5|8|2|1|1|0
6|10|2|1|0|1
6|15|0|1|1|0
6|19|2|1|0|1
6|23|0|1|1|0
7|13|1|0|1|0
7|20|0|1|0|0
7|23|2|0|1|1
7|9|1|0|1|0
8|14|0|0|0|1
8|15|1|0|1|1
8|16|1|1|1|1
8|20|0|0|0|1
9|13|2|1|0|0
9|17|0|0|1|1
9|18|2|1|1|0
9|20|1|1|0|0
10|12|2|0|0|1
10|15|2|1|1|0
10|18|1|1|0|0
10|19|1|1|1|0
11|11|2|1|0|0
11|16|2|1|0|1
11|17|1|1|1|1
11|23|1|1|1|1
12|16|2|1|0|0
12|17|2|1|0|1
12|19|0|1|0|0
12|19|2|0|1|0
13|15|1|0|1|1
13|18|0|0|1|0
13|19|0|1|1|0
13|24|2|1|0|0
14|10|0|0|0|1
14|12|2|0|0|0
14|13|1|1|0|0
14|23|0|1|1|0
15|13|2|1|1|1
15|18|0|0|0|0
15|18|1|0|1|1
15|19|2|1|0|1
16|10|2|0|0|0
16|21|1|1|1|0
16|23|0|0|0|0
16|9|1|0|0|1
17|13|1|0|1|0
17|20|2|1|1|0
17|21|2|1|0|1
17|8|2|0|0|1
18|14|2|1|1|1
18|15|2|1|1|1
18|21|2|1|1|0
18|24|0|1|0|1
19|13|2|0|0|1
19|15|0|1|1|1
19|17|0|1|0|0
19|21|0|1|1|0
20|15|1|0|0|0
20|15|2|0|0|0
20|23|0|0|0|1
20|9|1|1|1|1
21|10|1|1|1|0
21|10|2|0|1|0
21|14|1|1|1|0
21|9|2|0|0|1
22|13|0|0|0|0
22|17|0|1|0|1
22|24|0|0|1|0
22|8|2|1|1|1
23|11|2|0|1|0
23|12|0|0|0|1
23|12|2|1|1|1
23|18|2|1|1|0
24|14|0|1|1|1
24|16|1|1|0|1
24|21|0|1|1|1
24|22|2|0|1|1
25|14|1|0|0|0
25|21|1|1|1|0
25|24|1|1|1|0
25|9|2|0|0|0
26|10|2|0|0|1
26|14|0|1|1|1
26|21|0|0|0|0
26|24|2|1|0|1
27|16|0|1|0|0
27|19|2|1|1|0
27|20|0|1|0|0
27|23|0|0|1|0
28|12|1|1|0|1
28|14|2|1|0|0
28|16|0|1|1|0
28|17|0|1|0|1
29|18|0|0|0|0
29|19|0|0|1|1
29|9|0|0|1|1
29|9|1|0|1|1
30|11|2|1|0|1
30|14|1|0|0|1
30|15|1|1|1|0
30|23|2|1|1|1
31|12|1|1|0|0
31|12|1|1|0|1
31|23|1|1|0|0
31|9|0|1|0|0
32|12|1|0|0|0
32|13|0|0|0|1
32|18|2|1|0|1
32|23|2|0|0|0
33|13|0|1|1|0
33|13|2|0|1|1
33|17|2|1|1|1
33|22|1|0|0|0
34|14|2|1|0|0
34|19|2|0|0|0
34|21|0|0|0|1
34|9|2|0|0|0
35|18|0|0|0|0
35|20|0|1|1|1
35|24|2|1|0|0
35|8|0|1|0|0
36|10|1|1|0|0
36|12|1|0|1|0
36|13|1|1|1|1
36|18|0|0|1|0
37|10|1|1|0|0
37|11|1|0|1|0
37|18|0|0|0|1
37|21|1|0|0|0
38|13|0|0|1|1
38|20|2|0|1|0
38|22|1|0|0|1
38|24|1|1|1|0
39|11|1|0|0|1
39|13|1|1|0|1
39|18|0|0|1|1
39|18|1|0|1|1
40|10|0|1|1|1
40|20|2|0|0|1
40|20|2|0|1|0
40|24|2|0|1|0
41|17|2|1|0|0
41|18|0|0|1|1
41|23|1|1|0|1
41|9|0|1|1|0
42|15|0|1|0|1
42|17|0|0|1|0
42|24|0|0|1|0
42|9|0|0|0|0
43|10|2|1|1|0
43|11|2|0|0|0
43|20|2|0|1|0
43|23|1|0|0|1
44|14|1|1|1|0
44|20|0|1|0|0
44|20|2|0|0|1
44|9|0|0|0|0
45|11|1|0|1|0
45|14|2|0|0|0
45|22|1|0|0|1
45|22|2|1|0|1
46|10|2|0|0|0
46|15|0|0|0|0
46|19|2|1|0|1
