1|12|66
1|12|94
1|5|13
1|5|83
2|10|48
2|4|42
2|4|96
2|6|79
3|3|21
3|3|64
3|4|12
3|7|97
4|10|70
4|10|93
4|2|85
4|5|91
5|12|76
5|1|0
5|5|60
5|8|64
6|10|38
6|2|72
6|3|11
6|5|24
7|10|79
7|11|29
7|12|53
7|9|37
8|11|53
8|3|24
8|3|70
8|5|36
9|12|59
9|12|81
9|5|33
9|5|83
10|10|89
10|1|91
10|2|77
10|7|11
11|1|44
11|4|85
11|4|98
11|5|82
12|10|73
12|11|26
12|3|51
12|9|31
13|1|85
13|3|83
13|5|85
13|7|6
14|12|39
14|12|40
14|6|9
14|9|36
15|3|86
15|4|81
15|4|92
15|4|97
16|3|30
16|3|35
16|6|44
16|8|95
17|10|25
17|12|89
17|3|54
17|3|56
18|11|88
18|5|2
18|5|68
18|7|34
19|11|76
19|6|70
19|7|24
19|7|25
20|12|28
20|5|87
20|6|0
20|7|36
21|11|22
21|2|8
21|6|62
21|9|76
22|11|40
22|3|2
22|3|35
22|7|16
23|10|59
23|11|98
23|4|92
23|6|16
24|10|30
24|3|90
24|4|56
24|5|25
25|11|24
25|2|31
25|4|40
25|6|99
26|2|73
26|4|41
26|5|16
26|5|96
27|2|25
27|4|11
27|5|27
27|6|88
28|10|93
28|6|65
28|9|50
28|9|86
29|11|45
29|2|72
29|2|98
29|3|1
30|11|2
30|11|35
30|8|57
30|9|69
31|11|12
31|12|84
31|4|12
31|5|92
32|10|33
32|2|6
32|3|43
32|9|8
33|10|27
33|2|39
33|2|46
33|8|70
34|10|35
34|2|57
34|8|52
34|8|74
35|3|97
35|4|75
35|9|12
35|9|52
36|11|41
36|1|15
36|1|2
36|1|85
37|1|35
37|6|59
37|7|84
37|9|81
38|2|62
38|3|85
38|9|82
38|9|96
39|10|33
39|2|30
39|6|64
39|7|42
40|12|35
40|12|99
40|4|38
40|4|4
41|1|86
41|2|40
41|5|49
41|6|17
42|10|32
42|10|89
42|7|88
42|9|31
43|11|55
43|1|58
43|8|20
43|9|98
44|10|1
44|12|23
44|3|93
44|8|55
45|10|95
45|5|94
45|6|35
45|7|70
46|11|11
46|4|61
46|4|67
46|5|80
47|12|69
47|1|78
47|3|31
47|5|81
48|12|66
48|1|52
48|4|9
48|5|55
49|10|19
49|11|31
49|5|49
49|7|61
50|10|33
50|1|78
50|3|72
50|7|79
51|12|98
51|1|55
51|3|88
51|9|66
52|12|63
52|1|27
52|2|54
52|4|80
53|12|57
53|3|13
53|5|83
53|7|55
54|4|21
54|4|8
54|7|42
54|9|15
55|1|97
55|4|3
55|5|57
55|8|63
56|1|62
56|4|30
56|7|32
56|7|82
57|10|10
57|12|99
57|8|53
57|9|86
58|1|34
58|1|64
58|4|17
58|8|76
59|12|35
59|5|50
59|5|74
59|7|26
60|11|87
60|1|6
60|5|9
60|9|59
61|12|97
61|4|37
61|4|89
61|9|26
62|6|33
62|6|38
62|7|25
62|8|95
63|11|74
63|12|36
63|5|38
63|9|69
64|10|61
64|1|75
64|3|34
64|7|90
65|10|80
65|1|75
65|6|2
65|8|2
66|6|26
66|8|59
66|9|18
66|9|73
67|1|40
67|4|76
67|9|3
67|9|65
68|10|45
68|11|29
68|11|70
68|3|32
69|12|14
69|3|37
69|9|86
69|9|91
70|11|16
70|3|64
70|8|41
70|8|91
71|11|42
71|11|49
71|5|43
71|5|85
72|11|10
72|4|67
72|4|67
72|9|47
73|12|45
73|4|43
73|6|27
73|8|4
74|2|0
74|6|70
74|8|38
74|8|41
75|4|87
75|4|90
75|6|32
75|6|91
76|10|5
76|11|20
76|4|22
76|8|21
77|5|12
77|6|47
77|8|97
77|8|98
78|10|32
78|2|65
78|3|57
78|9|9
79|11|73
79|1|9
79|4|61
79|6|55
80|10|99
80|3|67
80|4|45
80|8|86
81|10|89
81|4|87
81|6|53
81|6|72
82|1|91
82|5|36
82|8|95
82|9|31
83|11|0
83|11|44
83|12|16
83|6|53
84|10|37
84|2|31
84|2|59
84|8|46
85|11|6
85|12|31
85|8|74
85|8|98
86|12|79
86|5|90
86|6|88
86|7|18
87|1|74
87|2|32
87|2|96
87|4|80
88|2|51
88|6|65
88|7|46
88|7|90
