1|18|20|49|76
2|91|48|30|11
3|74|38|39|87
4|72|64|61|22
5|81|26|36|49
6|92|71|97|76
7|77|52|7|93
8|94|67|45|16
9|22|44|92|24
10|49|16|1|12
11|79|78|65|10
12|22|68|99|98
13|46|77|46|32
14|24|79|8|54
15|13|63|47|37
16|29|12|53|84
17|21|89|7|36
18|54|81|48|68
19|34|24|78|20
20|50|27|17|90
21|69|18|21|15
22|59|60|69|17
23|64|71|20|97
24|18|97|80|23
25|65|63|59|82
26|2|7|16|41
27|40|60|61|22
28|19|53|11|78
29|63|13|59|79
30|42|63|63|38
31|43|11|0|48
32|8|72|71|72
33|11|14|19|25
34|87|28|66|54
35|63|70|76|64
36|31|46|7|79
37|52|14|24|47
38|54|80|86|2
39|82|39|50|90
40|2|68|27|97
41|96|52|22|84
42|44|68|37|76
43|52|24|39|18
44|75|84|64|86
45|22|27|32|40
46|17|62|8|7
47|14|99|98|34
48|21|55|97|26
49|14|22|77|86
50|1|11|61|52
51|19|61|71|92
52|11|44|77|25
53|18|90|31|94
54|93|0|0|61
55|8|49|61|8
56|99|74|34|25
57|80|70|77|13
58|90|25|32|49
59|71|94|41|16
60|77|61|41|90
61|34|9|49|85
62|80|61|11|7
63|30|95|15|68
64|86|91|59|3
65|58|5|84|49
66|30|56|98|43
67|30|96|25|86
68|18|37|41|80
69|96|2|30|12
70|59|52|19|84
71|49|50|51|42
72|74|85|45|75
73|36|32|23|85
74|27|30|94|93
75|96|76|44|12
76|8|38|58|52
77|97|7|64|45
78|35|3|28|43
79|23|61|85|99
80|85|25|39|34
81|48|69|85|100
82|44|63|59|39
83|28|23|17|10
84|95|12|28|94
85|25|53|38|59
86|64|91|68|91
87|37|18|89|0
88|10|17|0|71
89|19|62|36|3
90|72|43|42|56
91|75|8|32|51
92|22|43|44|63
93|13|32|89|25
94|84|81|82|26
95|23|50|93|55
96|55|80|25|53
97|88|81|56|37
98|49|7|59|86
99|43|71|36|23
100|89|33|53|67
101|12|73|58|42
102|13|77|34|37
103|66|10|58|5
104|19|20|58|94
105|7|47|97|99
106|17|75|84|1
107|91|29|92|61
108|74|83|28|93
109|66|75|0|13
110|81|52|51|33
111|29|41|38|79
112|81|15|38|0
113|58|40|65|55
114|64|95|22|1
115|93|94|62|30
116|24|45|22|7
117|58|90|21|66
118|21|88|65|51
119|23|31|96|2
120|1|85|2|74
121|84|8|95|24
122|73|92|25|80
123|40|86|10|54
124|1|98|27|84
125|28|8|15|11
126|30|61|29|31
127|40|12|33|46
128|9|25|20|93
129|80|32|17|50
130|79|24|29|28
131|10|72|82|38
132|85|26|88|92
133|70|91|70|75
134|98|25|5|98
135|52|62|44|13
136|37|90|5|9
137|71|88|25|42
138|50|17|70|25
139|43|86|29|30
140|3|28|89|81
141|17|88|22|35
142|59|56|100|10
143|98|81|23|39
144|87|33|15|49
145|64|58|91|47
146|32|54|39|88
147|42|1|17|68
148|9|22|48|3
149|9|11|39|51
150|79|29|28|62
151|56|50|68|52
152|69|70|0|97
153|7|73|9|16
154|17|75|70|60
155|24|81|27|66
156|70|44|70|54
157|74|69|72|75
158|58|91|2|25
159|87|42|43|63
160|91|24|25|40
161|98|36|56|51
162|18|13|10|64
163|74|3|29|2
164|44|21|23|22
165|76|30|63|17
166|8|98|8|76
167|9|59|4|87
168|77|96|93|61
169|40|42|11|45
170|10|64|8|83
171|87|96|86|69
172|97|74|91|74
173|35|29|92|95
174|65|53|70|53
175|73|68|5|11
176|27|32|38|100
177|67|36|10|50
